  x              y              exact          interp         lsq            interp_error   lsq_error    
   0.0196039360   0.1915692789   0.8074302648   0.7787948506   0.7894109142   0.0286354143   0.0180193506
   0.0519112473   0.1804026598   0.8122770731   0.7916889516   0.8033039620   0.0205881216   0.0089731111
   0.0390038993   0.1542107918   0.8409331195   0.8219327157   0.8323383343   0.0190004038   0.0085947852
  -0.0495269507   0.1012158548   0.8873165136   0.8831259980   0.8885844652   0.0041905156   0.0012679516
   0.0530932259   0.1909927161   0.8017650176   0.7794606079   0.7914029056   0.0223044097   0.0103621120
  -0.0349574169   0.1031817887   0.8910573430   0.8808559331   0.8869499779   0.0102014100   0.0041073651
   0.0216550812   0.0910975629   0.9063639572   0.8948095950   0.9028519193   0.0115543622   0.0035120378
   0.0121582952   0.1957160066   0.8039067075   0.7740066218   0.7844340526   0.0299000856   0.0194726549
  -0.1013095756   0.1995908251   0.7761694222   0.7695323668   0.7755170613   0.0066370553   0.0006523608
  -0.0472762729   0.0961266464   0.8928768087   0.8890025097   0.8944166022   0.0038742990   0.0015397935
   0.1300531171   0.3536356232   0.6232083238   0.6115167491   0.6174406652   0.0116915747   0.0057676586
   0.0996794332   0.3191649248   0.6656315825   0.6541260515   0.6599061356   0.0115055309   0.0057254469
   0.0423242841   0.3898009974   0.6079079666   0.5988582448   0.6052829212   0.0090497218   0.0026250454
   0.1710231678   0.3689002049   0.5933843521   0.5852742754   0.5911813801   0.0081100767   0.0022029720
   0.0944879217   0.3950773372   0.5937807615   0.5796047005   0.5859123976   0.0141760610   0.0078683639
   0.0991976190   0.4063150005   0.5817512136   0.5671050775   0.5734748540   0.0146461361   0.0082763596
   0.0892031323   0.3985643198   0.5915753242   0.5775337730   0.5838804677   0.0140415512   0.0076948564
   0.0530239654   0.3670661428   0.6291238831   0.6187261285   0.6249660393   0.0103977546   0.0041578438
   0.1081722723   0.2526336319   0.7251818920   0.7183816951   0.7236878332   0.0068001970   0.0014940588
   0.1175631526   0.3610888035   0.6202550607   0.6074102447   0.6134210087   0.0128448161   0.0068340520
  -0.1376755108   0.2467574610   0.7174335639   0.7163524971   0.7202654427   0.0010810668   0.0028318789
  -0.1249572280   0.3890034248   0.5914195632   0.5775143869   0.5837533495   0.0139051763   0.0076662138
  -0.0481531511   0.3507168627   0.6459928761   0.6363805393   0.6448220060   0.0096123368   0.0011708702
  -0.0717554008   0.4021962597   0.5914529784   0.5785769386   0.5868657766   0.0128760398   0.0045872017
  -0.0245040716   0.4299465746   0.5693557077   0.5634875792   0.5738086513   0.0058681285   0.0044529436
  -0.1475082562   0.3641796321   0.6070808097   0.5962956498   0.6014118646   0.0107851599   0.0056689451
  -0.0718022556   0.3511670419   0.6415675025   0.6295936017   0.6372072156   0.0119739009   0.0043602870
  -0.1315989434   0.3663022784   0.6107755903   0.5984358910   0.6041410378   0.0123396994   0.0066345525
  -0.1699354186   0.4277379192   0.5397416226   0.5267280227   0.5318924771   0.0130135999   0.0078491455
  -0.1186898573   0.3629934650   0.6180948576   0.6052036836   0.6113202899   0.0128911739   0.0067745677
   0.0199456584   0.2178895682   0.7811994213   0.7488307672   0.7642942574   0.0323686541   0.0169051639
  -0.0815909762   0.2914242209   0.6973695918   0.6866719648   0.7001969957   0.0106976270   0.0028274039
  -0.0242005866   0.3480607487   0.6510989350   0.6387971384   0.6497908764   0.0123017966   0.0013080585
   0.0896394079   0.2627757717   0.7223557498   0.7108884835   0.7241604612   0.0114672663   0.0018047114
   0.0664752476   0.3100753410   0.6828790835   0.6709061831   0.6826085551   0.0119729005   0.0002705284
  -0.0007121620   0.3622330803   0.6377662196   0.6268172741   0.6371077071   0.0109489455   0.0006585125
   0.0082475429   0.2327100237   0.7671438704   0.7363030441   0.7513087260   0.0308408262   0.0158351444
  -0.0580573468   0.2505168621   0.7428437174   0.7212509333   0.7361066483   0.0215927841   0.0067370691
  -0.0018738718   0.2399136918   0.7600789903   0.7302137874   0.7450309091   0.0298652029   0.0150480812
  -0.0732389563   0.2805669944   0.7100314102   0.6958495725   0.7097116545   0.0141818376   0.0003197557
   0.1662782134   0.6262789298   0.3520233475   0.3460216023   0.3505965376   0.0060017452   0.0014268099
   0.2007829265   0.5550220493   0.4097769415   0.4015048566   0.4055937871   0.0082720848   0.0041831544
   0.2340058556   0.6272510416   0.3305206429   0.3211054976   0.3253679898   0.0094151453   0.0051526531
   0.2292228796   0.5035819374   0.4467027054   0.4403071469   0.4440287113   0.0063955584   0.0026739940
   0.3173464894   0.6151416015   0.3078237332   0.3030882740   0.3069056904   0.0047354592   0.0009180428
